geoid,tract_pop_city,poverty_rate,pov_quintile,race_group,excluded_reason
17031440202,3525,0.2028380634390651,Q4,nh_black,
17031440300,4677,0.06489041684572411,Q1,nh_black,
17031440600,1996,0.21419676214196762,Q4,nh_black,
17031440700,1497,0.1663230240549828,Q3,nh_black,
17031440800,1620,0.5759676487579434,Q5,nh_black,
17031440900,2462,0.3447348193697156,Q5,nh_black,
17031450300,3252,0.14454460677649986,Q3,nh_black,
17031460100,2840,0.21761883994766681,Q4,nh_black,
17031460200,1948,0.3622377622377622,Q5,hispanic,
17031460301,2987,0.31205432937181665,Q5,nh_black,
17031460302,3282,0.22683959767072526,Q4,nh_black,
17031460400,3411,0.23353596757852077,Q4,nh_black,
17031460500,5400,0.18575244879786287,Q4,nh_black,
17031460800,3639,0.40026654820079965,Q5,nh_black,
17031461000,1460,0.4087530966143683,Q5,nh_black,
17031470100,2527,0.2351024208566108,Q4,nh_black,
17031480100,2001,0.19207920792079208,Q4,nh_black,
17031480200,1103,0.17465069860279442,Q4,nh_black,
17031480300,1348,0.23864648263579696,Q4,nh_black,
17031480400,5650,0.057692307692307696,Q1,nh_black,
17031480500,2986,0.26793400286944047,Q5,nh_black,
17031490200,3040,0.13680781758957655,Q3,nh_black,
17031490500,1995,0.07956715467854869,Q2,nh_black,
17031490600,1443,0.193815987933635,Q4,nh_black,
17031490700,2656,0.308964316797215,Q5,nh_black,
17031490800,3502,0.05169340463458111,Q1,nh_black,
17031490901,3403,0.43278301886792453,Q5,nh_black,
17031490902,4647,0.2634705133644463,Q5,nh_black,
17031491000,3807,0.35474781628627783,Q5,nh_black,
17031491100,4079,0.09197194076383476,Q2,nh_black,
17031491200,2019,0.16136631330977622,Q3,nh_black,
17031491300,2023,0.302574065080136,Q5,nh_black,
17031491400,2593,0.22552166934189405,Q4,nh_black,
17031500100,3545,0.16405740378343117,Q3,nh_black,
17031500200,1688,0.2485143165856294,Q4,nh_black,
17031500300,1587,0.2625482625482625,Q5,no_majority,
17031510100,3231,0.18684645019262522,Q4,hispanic,
17031510200,2922,0.20395156150414276,Q4,nh_black,
17031510300,4850,0.3649851632047478,Q5,nh_black,
17031520100,1745,0.17806889859291605,Q4,hispanic,
17031520200,3338,0.3018926466025442,Q5,hispanic,
17031520300,5675,0.12897320685638208,Q3,hispanic,
17031520400,4055,0.18561112596951057,Q4,hispanic,
17031520500,4420,0.13297045101088648,Q3,hispanic,
17031520600,2530,0.077217125382263,Q2,hispanic,
17031530100,2197,0.31216361679224974,Q5,no_majority,
17031530200,4128,0.20749632533072024,Q4,nh_black,
17031530300,3964,0.1448395490026019,Q3,nh_black,
17031530400,2059,0.19334186939820744,Q4,nh_black,
17031530501,4514,0.4870569494225408,Q5,nh_black,
17031530502,1570,0.15003589375448673,Q3,nh_black,
17031530503,4898,0.128125,Q3,nh_black,
17031530600,2774,0.1994328922495274,Q4,nh_black,
17031540101,4324,0.5665588454839512,Q5,nh_black,
17031540102,2938,0.5322304620650313,Q5,nh_black,
17031550100,7019,0.12562009921587455,Q3,hispanic,
17031550200,2969,0.07573529411764705,Q2,hispanic,
17031560100,1477,0.08585858585858586,Q2,hispanic,
17031560200,1710,0.0718954248366013,Q2,nh_black,
17031560300,3253,0.1312150632538982,Q3,hispanic,
17031560400,1630,0.15657894736842104,Q3,hispanic,
17031560700,3635,0.12148070907194995,Q3,hispanic,
17031560800,5682,0.04066985645933014,Q1,hispanic,
17031560900,5112,0.07987470634299139,Q2,nh_white,
17031561000,5308,0.06366324578187511,Q1,nh_white,
17031561100,5581,0.014038128249566724,Q1,hispanic,
17031570100,1316,0.23564064801178203,Q4,hispanic,
17031570200,2096,0.05187319884726225,Q1,hispanic,
17031570300,6376,0.08085671592229786,Q2,hispanic,
17031570400,1769,0.10039259674705553,Q2,hispanic,
17031570500,2639,0.059718100890207716,Q1,hispanic,
17031580100,3228,0.18185900314324202,Q4,hispanic,
17031580200,3466,0.265814696485623,Q5,hispanic,
17031580300,2577,0.06252605252188412,Q1,hispanic,
17031580400,4546,0.20385795703638754,Q4,hispanic,
17031580501,5170,0.09566184649610679,Q2,hispanic,
17031580502,5345,0.284568746332877,Q5,hispanic,
17031580600,5405,0.12155834425922457,Q3,hispanic,
17031580700,5621,0.3309527956801951,Q5,hispanic,
17031580800,2058,0.0829979879275654,Q2,hispanic,
17031590500,1854,0.08382449246889326,Q2,hispanic,
17031590600,3477,0.12570965125709652,Q3,hispanic,
17031590700,3027,0.10410557184750734,Q2,hispanic,
17031600400,4297,0.15840118430792005,Q3,no_majority,
17031600600,2988,0.12624953720844131,Q3,no_majority,
17031600700,2591,0.16721097322011758,Q3,no_majority,
17031600900,3682,0.16583573865127263,Q3,no_majority,
17031610300,5410,0.39179449270005545,Q5,hispanic,
17031610400,2029,0.17994100294985252,Q4,hispanic,
17031610800,1512,0.10031948881789138,Q2,nh_white,
17031611200,2680,0.35877533419577406,Q5,hispanic,
17031611300,3668,0.2082982898794505,Q4,hispanic,
17031611400,3737,0.49581111957349583,Q5,hispanic,
17031611500,3587,0.21525724423418097,Q4,hispanic,
17031611600,1921,0.28578407425500735,Q5,hispanic,
17031611700,2180,0.3532440782698249,Q5,hispanic,
17031611800,2205,0.07593123209169055,Q2,hispanic,
17031611900,1984,0.2878876535985957,Q5,nh_black,
17031612000,1448,0.27280701754385966,Q5,nh_black,
17031612100,1168,0.24633821571238348,Q4,nh_black,
17031612200,3939,0.25489690721649483,Q4,hispanic,
17031620100,4567,0.040062536642564005,Q1,hispanic,
17031620200,2390,0.034447821681864235,Q1,hispanic,
17031620300,6410,0.1216946261017913,Q3,hispanic,
