ward2023,period,ward2015,share_of_rpt_n
7,YTD2020-08,5,0.0056
7,YTD2021-08,7,0.8301
7,YTD2021-08,10,0.1307
7,YTD2021-08,8,0.0392
7,YTD2022-08,7,0.9144
7,YTD2022-08,10,0.0471
7,YTD2022-08,8,0.0300
7,YTD2022-08,5,0.0086
7,YTD2023-08,7,0.8746
7,YTD2023-08,10,0.0681
7,YTD2023-08,8,0.0466
7,YTD2023-08,5,0.0108
8,CY2019,8,0.9132
8,CY2019,9,0.0662
8,CY2019,6,0.0111
8,CY2019,5,0.0079
8,CY2019,7,0.0016
8,CY2019-2025,8,0.8994
8,CY2019-2025,9,0.0616
8,CY2019-2025,5,0.0212
8,CY2019-2025,6,0.0118
8,CY2019-2025,7,0.0061
8,CY2020,8,0.8900
8,CY2020,9,0.0454
8,CY2020,6,0.0371
8,CY2020,5,0.0206
8,CY2020,7,0.0069
8,CY2020-2022,8,0.9025
8,CY2020-2022,9,0.0500
8,CY2020-2022,5,0.0229
8,CY2020-2022,6,0.0165
8,CY2020-2022,7,0.0081
8,CY2021,8,0.9069
8,CY2021,9,0.0572
8,CY2021,6,0.0146
8,CY2021,5,0.0133
8,CY2021,7,0.0080
8,CY2022,8,0.9068
8,CY2022,9,0.0484
8,CY2022,5,0.0293
8,CY2022,7,0.0088
8,CY2022,6,0.0066
8,CY2023,8,0.8935
8,CY2023,9,0.0509
8,CY2023,5,0.0340
8,CY2023,6,0.0170
8,CY2023,7,0.0046
8,CY2023-2025,8,0.8832
8,CY2023-2025,9,0.0728
8,CY2023-2025,5,0.0306
8,CY2023-2025,7,0.0074
8,CY2023-2025,6,0.0060
8,YTD2019-08,8,0.9049
8,YTD2019-08,9,0.0731
8,YTD2019-08,6,0.0126
8,YTD2019-08,5,0.0086
8,YTD2019-08,7,0.0007
8,YTD2020-08,8,0.8968
8,YTD2020-08,6,0.0399
8,YTD2020-08,9,0.0366
8,YTD2020-08,5,0.0216
8,YTD2020-08,7,0.0050
8,YTD2021-08,8,0.9110
8,YTD2021-08,9,0.0558
8,YTD2021-08,5,0.0122
8,YTD2021-08,6,0.0105
8,YTD2021-08,7,0.0105
8,YTD2022-08,8,0.9130
8,YTD2022-08,9,0.0482
8,YTD2022-08,5,0.0237
8,YTD2022-08,7,0.0079
8,YTD2022-08,6,0.0071
8,YTD2023-08,8,0.8880
8,YTD2023-08,9,0.0502
8,YTD2023-08,5,0.0367
8,YTD2023-08,6,0.0193
8,YTD2023-08,7,0.0058
9,CY2019,9,0.6345
9,CY2019,34,0.1872
9,CY2019,21,0.1776
9,CY2019,10,0.0006
9,CY2019-2025,9,0.6357
9,CY2019-2025,21,0.1965
9,CY2019-2025,34,0.1676
9,CY2019-2025,10,0.0002
9,CY2020,9,0.7013
9,CY2020,34,0.1521
9,CY2020,21,0.1466
9,CY2020-2022,9,0.6386
9,CY2020-2022,21,0.2102
9,CY2020-2022,34,0.1512
9,CY2021,9,0.5016
9,CY2021,21,0.3375
9,CY2021,34,0.1609
9,CY2022,9,0.6957
9,CY2022,21,0.1602
9,CY2022,34,0.1441
9,CY2023,9,0.6121
9,CY2023,21,0.2138
9,CY2023,34,0.1741
9,CY2023-2025,9,0.6334
9,CY2023-2025,21,0.1970
9,CY2023-2025,34,0.1696
9,YTD2019-08,9,0.6237
9,YTD2019-08,21,0.1915
9,YTD2019-08,34,0.1839
9,YTD2019-08,10,0.0008
9,YTD2020-08,9,0.6920
9,YTD2020-08,34,0.1540
9,YTD2020-08,21,0.1540
9,YTD2021-08,9,0.4793
9,YTD2021-08,21,0.3787
9,YTD2021-08,34,0.1420
9,YTD2022-08,9,0.7062
9,YTD2022-08,21,0.1579
9,YTD2022-08,34,0.1359
9,YTD2023-08,9,0.6441
9,YTD2023-08,34,0.1847
9,YTD2023-08,21,0.1712
10,CY2019,10,0.8944
10,CY2019,9,0.1029
10,CY2019,7,0.0027
10,CY2019-2025,10,0.9193
10,CY2019-2025,9,0.0782
10,CY2019-2025,7,0.0026
10,CY2020,10,0.9252
10,CY2020,9,0.0724
10,CY2020,7,0.0024
10,CY2020-2022,10,0.9232
10,CY2020-2022,9,0.0758
10,CY2020-2022,7,0.0010
10,CY2021,10,0.9394
10,CY2021,9,0.0606
10,CY2022,10,0.9111
10,CY2022,9,0.0881
10,CY2022,7,0.0008
10,CY2023,10,0.9302
10,CY2023,9,0.0624
10,CY2023,7,0.0074
10,CY2023-2025,10,0.9353
10,CY2023-2025,9,0.0601
10,CY2023-2025,7,0.0046
10,YTD2019-08,10,0.9342
10,YTD2019-08,9,0.0637
10,YTD2019-08,7,0.0021
10,YTD2020-08,10,0.9316
10,YTD2020-08,9,0.0655
10,YTD2020-08,7,0.0028
10,YTD2021-08,10,0.9534
10,YTD2021-08,9,0.0466
10,YTD2022-08,10,0.9084
10,YTD2022-08,9,0.0907
10,YTD2022-08,7,0.0009
10,YTD2023-08,10,0.9520
10,YTD2023-08,9,0.0384
10,YTD2023-08,7,0.0096
11,CY2019,11,0.6390
11,CY2019,25,0.2905
11,CY2019,12,0.0705
11,CY2019-2025,11,0.7474
11,CY2019-2025,25,0.1776
11,CY2019-2025,12,0.0750
11,CY2020,11,0.7679
11,CY2020,25,0.1180
11,CY2020,12,0.1141
11,CY2020-2022,11,0.7770
11,CY2020-2022,25,0.1450
11,CY2020-2022,12,0.0779
11,CY2021,11,0.7920
11,CY2021,25,0.1513
11,CY2021,12,0.0567
11,CY2022,11,0.7748
11,CY2022,25,0.1608
11,CY2022,12,0.0643
11,CY2023,11,0.7804
11,CY2023,25,0.1475
11,CY2023,12,0.0720
11,CY2023-2025,11,0.7867
11,CY2023-2025,25,0.1383
11,CY2023-2025,12,0.0750
11,YTD2019-08,11,0.6222
11,YTD2019-08,25,0.3147
11,YTD2019-08,12,0.0632
11,YTD2020-08,11,0.7506
11,YTD2020-08,25,0.1305
11,YTD2020-08,12,0.1189
11,YTD2021-08,11,0.7778
11,YTD2021-08,25,0.1736
11,YTD2021-08,12,0.0486
11,YTD2022-08,11,0.7731
11,YTD2022-08,25,0.1686
11,YTD2022-08,12,0.0583
11,YTD2023-08,11,0.7945
11,YTD2023-08,25,0.1356
11,YTD2023-08,12,0.0699
12,CY2019,12,0.6058
12,CY2019,25,0.1882
12,CY2019,15,0.1373
12,CY2019,14,0.0646
12,CY2019,22,0.0040
12,CY2019-2025,12,0.5398
12,CY2019-2025,25,0.2180
12,CY2019-2025,15,0.1762
12,CY2019-2025,14,0.0628
12,CY2019-2025,22,0.0031
12,CY2020,12,0.5128
12,CY2020,15,0.2460
12,CY2020,25,0.1661
12,CY2020,14,0.0719
12,CY2020,22,0.0032
12,CY2020-2022,12,0.4808
12,CY2020-2022,25,0.2515
12,CY2020-2022,15,0.2000
12,CY2020-2022,14,0.0649
12,CY2020-2022,22,0.0029
12,CY2021,12,0.4926
12,CY2021,15,0.2426
12,CY2021,25,0.2224
12,CY2021,14,0.0404
12,CY2021,22,0.0018
12,CY2022,12,0.4590
12,CY2022,25,0.3082
12,CY2022,15,0.1574
12,CY2022,14,0.0721
12,CY2022,22,0.0033
12,CY2023,12,0.5536
12,CY2023,15,0.2097
12,CY2023,25,0.1637
12,CY2023,14,0.0707
12,CY2023,22,0.0024
12,CY2023-2025,12,0.5636
12,CY2023-2025,25,0.2008
12,CY2023-2025,15,0.1728
12,CY2023-2025,14,0.0600
12,CY2023-2025,22,0.0028
12,YTD2019-08,12,0.6019
12,YTD2019-08,25,0.1974
12,YTD2019-08,15,0.1334
12,YTD2019-08,14,0.0630
12,YTD2019-08,22,0.0043
12,YTD2020-08,12,0.5031
12,YTD2020-08,15,0.2422
12,YTD2020-08,25,0.1698
12,YTD2020-08,14,0.0807
12,YTD2020-08,22,0.0041
12,YTD2021-08,12,0.4828
12,YTD2021-08,15,0.2391
12,YTD2021-08,25,0.2322
12,YTD2021-08,14,0.0437
12,YTD2021-08,22,0.0023
12,YTD2022-08,12,0.4524
12,YTD2022-08,25,0.3160
12,YTD2022-08,15,0.1607
12,YTD2022-08,14,0.0682
12,YTD2022-08,22,0.0027
12,YTD2023-08,12,0.5311
12,YTD2023-08,15,0.2291
12,YTD2023-08,25,0.1578
12,YTD2023-08,14,0.0804
12,YTD2023-08,22,0.0015
13,CY2019,13,0.6786
13,CY2019,23,0.3214
13,CY2019-2025,13,0.6947
13,CY2019-2025,23,0.3053
13,CY2020,13,0.7684
13,CY2020,23,0.2316
13,CY2020-2022,13,0.7143
13,CY2020-2022,23,0.2857
13,CY2021,13,0.6628
13,CY2021,23,0.3372
13,CY2022,13,0.7027
13,CY2022,23,0.2973
13,CY2023,13,0.6603
13,CY2023,23,0.3397
13,CY2023-2025,13,0.6878
13,CY2023-2025,23,0.3122
13,YTD2019-08,13,0.6758
13,YTD2019-08,23,0.3242
13,YTD2020-08,13,0.7481
13,YTD2020-08,23,0.2519
13,YTD2021-08,13,0.6679
13,YTD2021-08,23,0.3321
13,YTD2022-08,13,0.6895
13,YTD2022-08,23,0.3105
13,YTD2023-08,13,0.6597
13,YTD2023-08,23,0.3403
14,CY2019,14,0.6440
14,CY2019,23,0.2605
14,CY2019,17,0.0481
14,CY2019,16,0.0474
14,CY2019-2025,14,0.7006
14,CY2019-2025,23,0.2269
